Index,accX,accY,accZ,girX,girY,girZ,Time(ms)
0,0.1793,-0.4623,0.3755,-3.5725,3.9542,-1.5573,57897
1,0.0882,-0.4957,0.3679,-2.7405,3.4733,-4.6718,57917
2,0.0828,-0.476,0.3552,-0.1985,4.8855,3.4198,57937
3,0.0816,-0.5165,0.3894,-0.1756,4.5267,10.4885,57957
4,0.0975,-0.5536,0.4067,-2.5573,2.3664,6.5496,57977
5,0.1046,-0.5521,0.405,-2.1908,0.6718,-1.6183,57997
6,0.1043,-0.5377,0.3792,1.9542,2.5725,-6.5115,58017
7,0.0984,-0.5321,0.3772,3.5038,2.084,-8.1069,58037
8,0.1138,-0.5238,0.4082,0.626,-3.2824,-10.458,58057
9,0.0982,-0.5153,0.4114,-2.7405,-8.4656,-14.0382,58077
10,-0.0842,-0.5927,0.5063,-0.1069,-9.5725,-16.7252,58097
11,0.107,-0.5135,0.3904,6.8855,-7.2748,-11.2595,58117
12,0.441,-0.4054,-0.0042,11.916,26.0611,6.7481,58137
13,0.0135,-0.2994,0.3789,7.084,12.1603,14.855,58157
14,0.0792,-0.528,0.4106,-17.313,1.3511,25.2824,58177
15,0.1204,-0.557,0.4478,-34.2672,-0.6183,14.8092,58197
16,0.1116,-0.5392,0.4392,-54.0458,4.4122,14.3206,58217
17,0.2188,-0.5536,0.363,-71.6412,12.8702,22.8702,58237
18,0.1863,-0.6964,0.4187,-78.7939,26.6565,38.4122,58257
19,0.1937,-0.8143,0.3433,-70.3664,32.6641,35.3588,58277
20,0.0914,-0.7719,0.4451,-66.9466,46.7252,45,58297
21,0.0274,-0.6715,0.4109,-73.5802,49.7786,54.0382,58317
22,-0.0129,-0.7035,0.3591,-94.4657,51.8473,64.2977,58337
23,-0.0361,-0.7919,0.2849,-114.1756,47.5573,72.855,58357
24,-0.0502,-0.8292,0.197,-123.5954,50.7481,81.687,58377
25,-0.1232,-0.7985,0.1323,-119.9847,46.2595,92.6794,58397
26,-0.1718,-0.8341,0.1138,-99.6489,36.7252,106.9008,58417
27,-0.1628,-0.8378,0.0427,-62.8779,28.1908,111.0916,58437
28,-0.2209,-0.7062,-0.0305,-25.5878,23.5725,117.7634,58457
29,-0.2617,-0.5948,-0.0325,1.1603,16.9542,133.1679,58477
30,-0.2827,-0.6427,-0.0144,22.6183,4.8931,140.0992,58497
31,-0.2802,-0.6071,-0.0505,36.374,0.1756,144.9618,58517
32,-0.3708,-0.4498,-0.0647,47.8168,-3.7481,147.7481,58537
33,-0.4291,-0.454,-0.0732,54.2977,-9.2443,156.1527,58557
34,-0.4401,-0.4476,-0.0833,61.0382,-11.1069,163.9466,58577
35,-0.5292,-0.3793,0.0024,69.8092,-14.4885,168.5267,58597
36,-0.5817,-0.2972,0.0461,77.8321,-24.1374,164.8397,58617
37,-0.5427,-0.1376,-0.0161,79.3893,-28.3969,157.5802,58637
38,-0.5883,-0.059,-0.0024,85.6565,-26.8321,184.4504,58657
39,-0.572,-0.0861,0.0408,85.7786,-24.7405,181.9771,58677
40,-0.6313,-0.0958,0.1145,88.1985,-29.8397,166.6107,58697
41,-0.6215,0.0094,0.1274,106.1374,-29.5038,163.1145,58717
42,-0.6169,0.1036,0.1067,120.6336,-24.4427,170.145,58737
43,-0.6533,0.1998,0.1052,120.313,-15.9008,177.2519,58757
44,-0.6708,0.276,0.0942,111.6947,-11.2595,176.1145,58777
45,-0.697,0.3258,0.1626,104.7099,-9.6718,173.0153,58797
46,-0.6887,0.3661,0.2141,104.7099,-11.1145,165.0458,58817
47,-0.7006,0.4757,0.2061,102.2443,-8.6565,158.1679,58837
48,-0.7048,0.5585,0.1704,95.0382,-8.8168,152.5267,58857
49,-0.7038,0.5365,0.1965,93.145,-4.145,144.8015,58877
50,-0.7282,0.5634,0.2417,87.4504,-5.3206,135.3664,58897
51,-0.696,0.6549,0.2275,71.0611,-7.1527,128.6641,58917
52,-0.6479,0.6891,0.1746,55.374,-7.2443,121.4885,58937
53,-0.6503,0.7094,0.175,49.6336,-8.0916,119.1374,58957
54,-0.6081,0.7277,0.1711,51.229,-5.4809,113.8397,58977
55,-0.6325,0.7594,0.2324,53.313,-6.5573,110.3359,58997
56,-0.5798,0.7723,0.2334,57.0153,-12.9771,102.3664,59017
57,-0.5549,0.8588,0.2378,60.9466,-15.0382,96.8015,59037
58,-0.5092,0.891,0.2371,60.6183,-10.5191,89.2137,59057
59,-0.4885,0.9467,0.2703,53.1832,-5.5725,79.6336,59077
60,-0.506,0.9454,0.2856,41.0916,-8.6412,65.6718,59097
61,-0.4528,0.9435,0.2554,44.145,-14.1908,51.2519,59117
62,-0.4299,0.9823,0.238,55.8702,-6.7328,42.5954,59137
63,-0.4106,1.0021,0.218,56.5954,7.542,36.4885,59157
64,-0.5192,1.0143,0.2385,42.6794,12.458,32.0916,59177
65,-0.5578,1.0533,0.2292,25.7405,2.9618,24.7176,59197
66,-0.5056,1.0519,0.2173,16.6107,-6.687,15.5802,59217
67,-0.4582,1.0941,0.1326,16.0229,0.5267,14.2824,59237
68,-0.5373,1.0848,0.1475,5.6641,0.0458,21.5496,59257
69,-0.4587,1.0416,0.1687,0.2061,5.2748,17.8931,59277
70,-0.5356,1.0192,0.2371,3.0458,8.5802,9.9771,59297
71,-0.4948,1.0211,0.2068,12.2901,5.1145,0.8168,59317
72,-0.5075,1.0348,0.1724,19.0687,15.4885,-1.0687,59337
73,-0.5109,1.0094,0.1321,19.6947,28.8015,-0.6489,59357
74,-0.569,1.0292,0.1846,16.9466,29.2824,10.145,59377
75,-0.5654,1.0763,0.2083,14.1221,20.2366,15.374,59397
76,-0.53,1.1063,0.1787,11.9771,18.9618,13.3588,59417
77,-0.5507,1.1078,0.1321,8.5344,17.9237,8.6641,59437
78,-0.5881,1.0975,0.106,0.4275,17.855,9.313,59457
79,-0.5803,1.12,0.1072,-2.2595,12.7481,8.9771,59477
80,-0.5536,1.0748,0.113,-1.374,1.626,7.1603,59497
81,-0.5578,1.0275,0.1099,3.0076,-11.3282,1.0382,59517
82,-0.5424,1.1217,0.1533,-7.3359,-15.3817,-0.9008,59537
83,-0.5402,1.1073,0.1521,-20.0382,-17.3359,-5.4122,59557
84,-0.5019,1.078,0.116,-19.5725,-16.9466,-9.9237,59577
85,-0.5009,1.0682,0.0823,-8.1908,-9.9313,-8.5267,59597
86,-0.5722,0.9623,0.2344,4.5954,-12.9542,-12.458,59617
87,-0.6247,1.0907,0.2163,9.8626,-33.6336,-20.0382,59637
88,-0.5261,1.161,0.1121,-10.2061,-37.4122,-16.5573,59657
89,-0.5002,1.0865,0.1375,-25.9237,-27.2443,-13.7481,59677
90,-0.507,1.0321,0.1758,-24.6336,-15.1679,-11.7252,59697
91,-0.5224,0.9567,0.231,-13.3588,-7.1069,-9.7863,59717
92,-0.4951,0.9808,0.1819,5.2366,6.9084,-4.0611,59737
93,-0.4987,0.9965,0.1626,18.5344,23.2061,6.3282,59757
94,-0.5641,1.0404,0.1855,26.0076,34.6947,14.8092,59777
95,-0.6149,1.0729,0.1956,17.313,30.7863,22.8626,59797
96,-0.5837,1.1,0.137,15.9313,28.0305,25.4809,59817
97,-0.5798,1.0394,0.1416,22.9924,24.9771,26.5725,59837
98,-0.5656,1.0858,0.1274,29.916,19.7405,27.084,59857
99,-0.5895,1.1051,0.1667,21.9084,6.374,24.8473,59877
100,-0.5217,1.1056,0.1204,14.3969,-2.2443,21.4122,59897
101,-0.5104,1.1141,0.094,22.9695,3.7939,19.8855,59917
102,-0.5217,1.1136,0.1086,21.1069,5.6489,20.5344,59937
103,-0.5209,1.1559,0.075,13,2.7786,18.3969,59957
104,-0.4738,1.16,0.0576,1.4046,-0.771,13.5802,59977
105,-0.4836,1.0619,0.1057,11.9237,2.7557,-4.6107,59997
106,-0.5842,1.2338,0.1492,12.8702,-2.9924,-17.4504,60017
107,-0.5803,1.1578,0.0972,-6.6107,-18.0687,-28.7405,60037
108,-0.5165,1.0743,0.0891,-21.6565,-14.542,-20.8779,60057
109,-0.4633,0.9757,0.0461,-22.4733,-2.6947,-13.2901,60077
110,-0.4594,0.965,0.0354,1.4885,12.1832,-5.1756,60097
111,-0.5195,1.0538,0.0967,18.4046,15.4427,-3.2977,60117
112,-0.5334,1.1366,0.0955,14.8168,9.0076,-7.6718,60137
113,-0.5563,1.1608,0.1045,-1.9389,3.0763,-12.9924,60157
114,-0.5275,1.1185,0.1064,-15.145,-0.4198,-18.3817,60177
115,-0.5175,1.0804,0.1062,-19.2061,1.6489,-18.9313,60197
