Index,accX,accY,accZ,girX,girY,girZ,Time(ms)
0,0.0115,-0.0623,0.7158,0.1145,13.7328,-4.6107,67356
1,-0.0746,-0.0845,0.8179,-1.4504,5.6565,-1.5115,67376
2,-0.0952,-0.0872,0.8169,3.0687,8.1527,-1.8397,67396
3,-0.0646,-0.0901,0.8203,4.3969,10.7786,-7.0611,67416
4,-0.0678,-0.0901,0.8596,4.5344,7.5344,-5.2748,67436
5,-0.0766,-0.0935,0.9021,1.2595,1.4198,-4.4733,67456
6,-0.0837,-0.1335,0.9058,7.8779,0.2901,-8.0382,67476
7,-0.0678,-0.1509,0.9045,5.3969,-4.8168,-12.7481,67496
8,-0.664,0.0598,1.4229,-23.0534,-59.6183,-29.6183,67516
9,0.053,0.1497,0.7278,-26.0305,-6.3053,13.9542,67536
10,-0.093,-0.0034,0.9658,-39.0229,-6.4122,11.2824,67556
11,-0.0964,-0.0413,1.0125,-74.7099,-20.855,11.2519,67576
12,0.0037,-0.0525,1.0027,-108.2672,-23.4122,13.5191,67596
13,0.0032,-0.2061,0.8967,-138.6031,-0.2214,29.4046,67616
14,-0.0436,-0.3662,0.9009,-145.5343,23.3817,39.9008,67636
15,-0.1569,-0.3931,1.0042,-136.2137,36.6794,48.0305,67656
16,-0.185,-0.3792,0.9878,-134.2061,37.542,53.8397,67676
17,-0.1711,-0.3572,0.917,-162.8092,38.4809,64.687,67696
18,-0.2148,-0.3931,0.7266,-198.3664,43.2672,81.0534,67716
19,-0.2734,-0.5791,0.5723,-206.2214,48.0992,94.8855,67736
20,-0.2729,-0.7136,0.4819,-181.0153,49.8092,107.8855,67756
21,-0.3144,-0.6028,0.384,-146.1985,59.0611,122.687,67776
22,-0.4081,-0.5164,0.3423,-128.4657,56.1985,142.9542,67796
23,-0.4389,-0.4871,0.2646,-119.5954,50.8321,166.5725,67816
24,-0.4892,-0.5364,0.2209,-103.5649,39.2824,177.7099,67836
25,-0.4997,-0.5959,0.1243,-65.0763,31.5573,177.229,67856
26,-0.5678,-0.458,0.1184,-29.0153,29.0305,173.8244,67876
27,-0.6274,-0.3196,0.1208,-6.3206,15.5115,177.7786,67896
28,-0.59,-0.2637,0.0547,1.3893,5.8702,185.3817,67916
29,-0.6022,-0.1714,0.0254,12.6183,6.5038,188.3206,67936
30,-0.6142,-0.1165,0.0645,16.5573,3.1298,186.458,67956
31,-0.5827,-0.0627,0.0774,10.7099,-2.4122,179.7176,67976
32,-0.6149,0.0049,0.084,7.5038,0.1756,170.542,67996
33,-0.6657,0.0781,0.0962,1.2366,-2.5649,162.7252,68016
34,-0.6799,0.1304,0.1099,-7.7099,-9.3206,154.8397,68036
35,-0.6723,0.156,0.1082,-14.7252,-13.5573,146.5649,68056
36,-0.6628,0.2231,0.092,-25.8931,-13.458,138.1069,68076
37,-0.6845,0.2222,0.1155,-35.229,-18.916,133.2748,68096
38,-0.6955,0.2183,0.1226,-33.7863,-24.0382,123.8473,68116
39,-0.6916,0.2551,0.1545,-21.7634,-27.2824,116.3206,68136
40,-0.7009,0.2488,0.2185,-7.3359,-27.4962,109.7863,68156
41,-0.6957,0.29,0.2249,6.1832,-27.5191,104.084,68176
42,-0.6808,0.3647,0.208,14.0305,-17.8626,103.4733,68196
43,-0.7253,0.4258,0.2617,11.9008,-10.3969,103.9695,68216
44,-0.7658,0.4385,0.3318,11.8092,-15.5267,100.9084,68236
45,-0.736,0.4529,0.301,17.5344,-18.5649,95.7023,68256
46,-0.7321,0.4773,0.2747,26.6489,-17.1145,87.6183,68276
47,-0.7526,0.5793,0.2583,25.9695,-17.9084,75.5878,68296
48,-0.7944,0.6897,0.291,13.7786,-25.1908,75.3969,68316
49,-0.799,0.6792,0.3167,-2.6947,-34.2824,67.0076,68336
50,-0.7534,0.6611,0.2837,-6.9084,-39.7481,60.9542,68356
51,-0.748,0.6992,0.3025,-2.9618,-34.4198,57.4427,68376
52,-0.7805,0.79,0.3257,-8.6641,-34.0763,50.6947,68396
53,-0.7914,0.8174,0.3157,-26.4198,-40.4046,42.6412,68416
54,-0.7538,0.7524,0.3494,-34.7176,-45.0534,31.458,68436
55,-0.7038,0.7332,0.3506,-25.3435,-40.0763,20.1527,68456
56,-0.7111,0.7407,0.3604,-17.855,-29.6718,13.6947,68476
