Index,accX,accY,accZ,girX,girY,girZ,Time(ms)
0,-0.0505,-0.3396,0.6694,-6.4351,-0.8626,-9.4962,86713
1,0.0255,-0.1443,0.7615,-7.9084,1.0076,-1.9237,86733
2,0.0701,-0.1069,0.802,-9.2672,0.8779,2.0992,86753
3,0.0735,-0.1741,0.8501,-11.4962,0.2901,-0.2443,86773
4,0.0643,-0.1477,0.8188,-12.0916,1.0458,-4.1145,86793
5,0.0362,-0.1416,0.7957,-11.5649,-0.7252,-8.0076,86813
6,0.0499,-0.1321,0.7847,-11.3511,-2.8244,-7.7023,86833
7,0.0845,-0.1565,0.8071,-12.6565,-4.4733,-6.0305,86853
8,0.0811,-0.175,0.825,-13,-6.4427,-5.145,86873
9,-0.0002,-0.1372,0.8862,-22.9542,-11.0992,-13.0534,86893
10,0.1072,-0.1001,0.7297,-24.7786,-0.9084,-9.8244,86913
11,0.1905,-0.0967,0.7004,-44.7176,-0.7176,-1.7939,86933
12,-0.0761,0.1426,0.8953,-92.3206,-7.1145,47.9542,86953
13,0.1138,-0.0769,0.8782,-127.626,-29.8168,84.2137,86973
14,0.0355,-0.3486,0.6262,-153.7939,-41.6565,88.9771,86993
15,0.1641,-0.3357,0.5244,-135.1221,-3.9313,35.458,87013
16,0.1575,-0.3467,0.6882,-130.3969,18.3053,17.0611,87033
17,0.129,-0.4956,0.6951,-138.5191,13.9847,29.1603,87053
18,0.2078,-0.4739,0.5977,-167.4657,20.5114,34.5573,87073
19,0.0901,-0.6304,0.5598,-197.8779,25.1985,52.6565,87093
20,0.1104,-0.8557,0.469,-202.5725,26.1756,71.1374,87113
21,-0.0273,-0.937,0.4343,-179.7328,28.626,84.1985,87133
22,-0.1039,-0.8323,0.4124,-157.2977,25.7557,95.6947,87153
23,-0.2556,-0.7217,0.3389,-144.6718,18.8931,107.8855,87173
24,-0.3859,-0.6064,0.2773,-140.2748,1.2366,121.9389,87193
25,-0.3705,-0.6296,0.1619,-137.4046,-15.1221,137.9695,87213
26,-0.3989,-0.6162,0.0842,-114.4809,-18.8855,144.2366,87233
27,-0.4592,-0.5969,0.0862,-90.5954,-22.3817,149.3282,87253
28,-0.5295,-0.4751,0.0981,-53.9237,-27.8397,148.8931,87273
29,-0.5273,-0.3376,0.0117,-14.9466,-34.7405,151.6183,87293
30,-0.4648,-0.3445,0.0076,5.1298,-26.8779,154.7481,87313
31,-0.5246,-0.2759,0.092,9.3359,-26.8092,144.2672,87333
32,-0.5969,-0.1345,0.1128,6.4198,-35.8473,139.1908,87353
33,-0.5795,-0.1582,0.0596,-6.0687,-40.8321,135.6412,87373
34,-0.5583,-0.2034,0.0544,-16.374,-37.1908,127.5267,87393
35,-0.6452,-0.1892,0.1296,-14.6412,-36.9847,117.0611,87413
36,-0.6481,-0.1235,0.1462,-13,-41.3435,114.7023,87433
37,-0.6318,-0.1223,0.1157,-13.4733,-39.1832,118.2214,87453
38,-0.6437,-0.1338,0.124,-15.8244,-39.4885,115.2137,87473
39,-0.652,-0.1052,0.1843,-21.5496,-40.687,108.0916,87493
40,-0.6628,-0.0725,0.1907,-22.3664,-43.7786,107.5038,87513
41,-0.6723,-0.0317,0.1584,-20.6947,-43.0229,108.8626,87533
42,-0.7045,-0.0173,0.1729,-18.5878,-43.4962,107.7252,87553
43,-0.7028,0.0408,0.1873,-9.5267,-44.7481,104.6031,87573
44,-0.6799,0.0381,0.1987,-0.8626,-43.5725,99.9924,87593
45,-0.6999,0.0659,0.2214,3.1985,-38.5573,94.2977,87613
46,-0.7236,0.1416,0.2454,3.9466,-39.7405,86.3359,87633
47,-0.6943,0.1914,0.2493,1.145,-39.7023,78.4962,87653
48,-0.6784,0.1594,0.2458,-1.4351,-32.9008,67.626,87673
49,-0.7233,0.197,0.2778,-4.2443,-25,58.6031,87693
50,-0.7656,0.1907,0.2957,-8.6336,-25.4656,50.1145,87713
51,-0.7446,0.1555,0.2859,-2.4198,-22.8168,39.2748,87733
52,-0.7162,0.229,0.2483,13.2214,-10.8092,32.8015,87753
53,-0.7353,0.2539,0.2986,15.6489,1.1145,31.1679,87773
54,-0.7946,0.252,0.3081,2.5649,2.1832,23.2901,87793
55,-0.8168,0.2649,0.2922,-18.374,1.0305,19.626,87813
56,-0.8478,0.1921,0.2849,-33.9466,0.4427,17.7634,87833
57,-0.8195,0.1245,0.2561,-26.9847,3.1985,17.3206,87853
58,-0.831,0.1606,0.2568,-7.1603,8.374,21.2824,87873
59,-0.8588,0.2036,0.2671,4.4427,10.1832,24.1527,87893
60,-0.8701,0.2244,0.2429,5.2137,11.8931,23.5191,87913
61,-0.8874,0.2722,0.2476,-2.4809,10.5802,23.4504,87933
62,-0.8964,0.25,0.2581,-14.8168,3.0687,22.3969,87953
63,-0.851,0.2312,0.2485,-10.5954,0.1832,20.1756,87973
64,-0.8478,0.2358,0.2747,5.7252,3.2214,17.9237,87993
65,-0.8713,0.2883,0.2957,13.7481,1.9084,15.9008,88013
66,-0.8622,0.3152,0.2915,4.4656,-5.9313,14.0687,88033
67,-0.8686,0.2949,0.3049,-9.1908,-5.7481,10.9466,88053
68,-0.8615,0.2888,0.3037,-15.3893,-7.9771,9.0229,88073
69,-0.8464,0.2695,0.2805,-10.7176,-9.1069,7.7405,88093
70,-0.8608,0.2722,0.2871,-5.374,-9.0076,5.8931,88113
71,-0.8686,0.2485,0.2725,-7.3206,-11.6489,3.4427,88133
72,-0.8737,0.2581,0.2786,-10.4046,-10.771,2.2366,88153
73,-0.874,0.2566,0.2715,-11.855,-10.9389,3.6412,88173
74,-0.8574,0.2671,0.2517,-5.7176,-9.6641,3.9389,88193
75,-0.8503,0.2869,0.2495,0.0611,-8.4809,5.8244,88213
76,-0.8476,0.2876,0.2795,1.7863,-7.7557,5.229,88233
77,-0.8471,0.302,0.2625,0.2443,-6.2977,4.7405,88253
78,-0.8539,0.3003,0.2581,-2.3664,-5.7557,3.8702,88273
79,-0.8503,0.3,0.2546,-2.3817,-6.1298,2.9008,88293
80,-0.8434,0.2988,0.2512,-2.5267,-6.5115,2.4122,88313
81,-0.8403,0.3091,0.2688,-4.4809,-7.0076,2.1908,88333
82,-0.8434,0.3005,0.2568,-7.626,-6.542,2.084,88353
83,-0.8515,0.3103,0.2515,-9.8931,-6.1679,2.6031,88373
84,-0.8705,0.3147,0.252,-11.3893,-5.4351,3.0153,88393
85,-0.8769,0.3269,0.248,-14.1527,-6.0992,3.9466,88413
86,-0.8823,0.3342,0.251,-17.4046,-6.8015,4.542,88433
87,-0.9047,0.3176,0.2786,-19.3588,-7.4275,4.9542,88453
88,-0.8915,0.3096,0.2883,-19.8092,-9.2748,6.8702,88473
89,-0.8776,0.2888,0.3079,-17.3359,-8.9618,7.9542,88493
90,-0.8503,0.291,0.3059,-15.2519,-8.7252,8.8092,88513
91,-0.8391,0.2798,0.3015,-12.4809,-7.3053,7.6489,88533
92,-0.8505,0.2786,0.2871,-11.4275,-7.2519,5.5954,88553
93,-0.8701,0.2839,0.2961,-12.8015,-9.0458,2.4198,88573
94,-0.881,0.2637,0.3264,-15.5267,-15.0992,-0.9008,88593
95,-0.8447,0.2529,0.3306,-12.9618,-16.7099,-2.5038,88613
96,-0.8249,0.2405,0.3379,-6.8855,-14.3817,-1.9542,88633
97,-0.8254,0.2556,0.3245,-2.687,-11.9924,-1.1679,88653
98,-0.8293,0.2766,0.3137,-4.1374,-9.8168,-0.0153,88673
99,-0.8278,0.2686,0.2949,-6.0153,-8.5573,-0.4504,88693
100,-0.8373,0.2625,0.2888,-5.5802,-6.313,-1.1985,88713
101,-0.8447,0.2656,0.2991,-3.4885,-5.5191,-1.1221,88733
102,-0.8447,0.2688,0.3013,-2.7328,-5.3817,-0.4809,88753
103,-0.8422,0.272,0.3049,-2.3969,-4.2443,0.0382,88773
104,-0.84,0.2847,0.3057,-1.9618,-3.2748,0.1298,88793
105,-0.8342,0.2908,0.2969,-1.9313,-3.4504,-0.8168,88813
106,-0.8408,0.2915,0.3054,-2.5496,-4.0611,-1.6412,88833
